Fasciae-1,Fasciae-2,Fasciae-3,Fasciae-4,Fasciae-5,Fasciae-6,Fasciae-7,Fasciae-8,Fasciae-9,Fasciae-10
Middle layer of thoracolumbar fascia.r,Inferior fibular retinaculum.r,Superficial transverse metacarpal ligament.r,Posterior layer of thoracolumbar fascia.r,Anterior intermuscular septum of leg.r,Clavipectoral fascia.r,Superficial layer of temporal fascia.r,Pectoral fascia.r,Fascia lata.r,Antebrachial fascia.r
Anterior layer of thoracolumbar fascia.r,Superficial transverse metatarsal ligament.r,Superficial transverse metacarpal ligament.l,Posterior layer of thoracolumbar fascia.l,Posterior intermuscular septum of leg.r,Clavipectoral fascia.l,Masseteric fascia.r,Pectoral fascia.l,Fascia lata.l,Palmar aponeurosis.r
Piriformis fascia.r,Inferior fibular retinaculum.l,Flexor retinaculum of wrist.r,Medial intermuscular septum of arm.r,Transverse intermuscular septum of leg.r,Transversalis fascia,Superficial layer of temporal fascia.l,Investing abdominal fascia.r,Crural fascia.r,Deltoid fascia.l
Piriformis fascia.l,Superficial transverse metatarsal ligament.l,Flexor retinaculum of wrist.l,Lateral intermuscular septum of arm.r,Medial femoral intermuscular septum.l,Diaphragmatic fascia,Masseteric fascia.l,Investing abdominal fascia.l,Crural fascia.l,Antebrachial fascia.l
Iliopectineal arch.r,Superior fibular retinaculum.r,Superior extensor retinaculum of ankle.r,Dorsal fascia of hand.r,Popliteal fascia.l,Middle layer of thoracolumbar fascia.l,Superficial investing cervical fascia.r,,Brachial fascia.l,Palmar aponeurosis.l
Iliopectineal arch.l,Superior fibular retinaculum.l,Inferior extensor retinaculum of ankle.r,Medial intermuscular septum of arm.l,Anterior intermuscular septum of leg.l,Anterior layer of thoracolumbar fascia.l,Superficial investing cervical fascia.l,,Flexor retinaculum of ankle.r,Deltoid fascia.r
Iliopsoas fascia.r,Extensor retinaculum of wrist.r,Superior extensor retinaculum of ankle.l,Lateral intermuscular septum of arm.l,Posterior intermuscular septum of leg.l,Plantar aponeurosis.r,,,Flexor retinaculum of ankle.l,
Iliopsoas fascia.l,Extensor retinaculum of wrist.l,Inferior extensor retinaculum of ankle.l,Dorsal fascia of hand.l,Transverse intermuscular septum of leg.l,Plantar aponeurosis.l,,,Brachial fascia.r,
Lateral femoral intermuscular septum.l,,,Popliteal fascia.r,Medial femoral intermuscular septum.r,,,,,
Lateral femoral intermuscular septum.r,,,,,,,,,