Veins-1,Veins-2,Veins-3,Veins-4,Veins-5,Veins-6,Veins-7,Veins-8,Veins-9,Veins-10
Accessory hemi-azygos vein,Great cardiac vein,Anterior division of retromandibular vein.l,Anterior circumflex humeral vein.r,Superficial dorsal veins of penis,Dorsal metatarsal veins.r,Anterior vein of left lung,Superior vein of left lung,Right superior pulmonary vein,Inferior basal vein of right lung
Left ascending lumbar vein,????????,Dorsal digital veins of hand.r,Posterior circumflex humeral vein.r,Great saphenous vein.r,Dorsal digital veins of foot.r,Apicoposterior vein of left lung,Inferior basal vein of left lung,Medial vein of right lung,Superior basal vein of right lung
Hemi-azygos vein,Middle cardiac vein,Dorsal digital veins of hand.l,Lateral thoracic vein.r,Superficial epigastric vein.r,Dorsal metatarsal veins.l,Inferior lingular vein of left lung,Right inferior pulmonary vein,Superior vein of right lung,Apical vein of right lung
Azygos vein,Inferior vein of left ventricle (//Posterior ''),Thoracodorsal vein.r,Anterior circumflex humeral vein.l,Great saphenous vein.l,Dorsal digital veins of foot.l,Superior lingular vein of left lung,Left inferior pulmonary vein,Posterior vein of right lung,Anterior vein of right lung
Right ascending lumbar vein,Coronary sinus,Circumflex scapular vein.r,Posterior circumflex humeral vein.l,Superficial epigastric vein.l,Left testicular vein,Superior basal vein of left lung,Left superior pulmonary vein,,Lateral vein of right lung
Right brachiocephalic vein,Inferior vein of left ventricle,Thoracodorsal vein.l,Lateral thoracic vein.l,Deep femoral vein.r,Hepatic portal vein,,Lingular vein of left lung,,
Left brachiocephalic vein,Left subcostal vein,Circumflex scapular vein.l,Hepatic veins,Perforating veins.r,External pudendal veins.r,,,,
Superior vena cava,Right superior phrenic vein,Median cubital vein.r,Intrarenal veins of right kidney,Deep femoral vein.l,External pudendal veins.l,,,,
Internal jugular vein.r,Right subcostal vein,Median antebrachial vein.r,Right renal vein,Plantar digital veins.r,Subscapular vein.r,,,,
Internal jugular vein.l,Vertebral vein.r,Median cubital vein.l,Intrarenal veins of left kidney,Plantar metatarsal veins.r,Subscapular vein.l,,,,
Inferior sagittal sinus.l,Vertebral vein.l,Median antebrachial vein.l,Left renal vein,Plantar digital veins.l,Retromandibular vein.l,,,,
Superior sagittal sinus,Internal thoracic veins.l,Superficial venous palmar arch.r,Right testicular vein,Plantar metatarsal veins.l,Anterior division of retromandibular vein.r,,,,
Superior petrosal sinus.r,Musculophrenic veins.l,Palmar digital veins.r,Lateral sacral veins.r,Plantar venous arch.r,Retromandibular vein.r,,,,
Transverse sinus.r,Internal thoracic veins.r,Superficial venous palmar arch.l,Lateral sacral veins.l,Plantar venous arch.l,Basilar venous plexus,,,,
Superior petrosal sinus.l,Superior epigastric veins.r,Palmar digital veins.l,Internal pudendal vein.r,Fibular veins.r,Cavernous sinus.r,,,,
Transverse sinus.l,Musculophrenic veins.r,Deep venous palmar arch.r,Internal pudendal vein.l,Fibular veins.l,Cavernous sinus.l,,,,
Sigmoid sinus.r,Superior epigastric veins.l,Deep venous palmar arch.l,Deep dorsal vein of penis,Dorsal venous arch of foot.r,Posterior intercavernous sinus,,,,
Sigmoid sinus.l,Left superior intercostal vein,,Inferior gluteal veins.r,Intercapitular veins of foot.r,Anterior intercavernous sinus,,,,
External jugular vein.r,Right superior intercostal vein,,Superior gluteal veins.r,Dorsal venous arch of foot.l,Superior ophthalmic vein.l,,,,
External jugular vein.l,Posterior division of retromandibular vein.r,,Inferior gluteal veins.l,Intercapitular veins of foot.l,Superior ophthalmic vein.r,,,,
Dorsal venous network of hand.r,Angular vein.r,,Superior gluteal veins.l,Small saphenous vein.r,,,,,
Dorsal venous network of hand.l,Submental vein.r,,Inferior epigastric vein.r,Small saphenous vein.l,,,,,
Cephalic vein.r,Inferior labial veins.r,,Inferior epigastric vein.l,Genicular veins.r,,,,,
Cephalic vein.l,Superior labial vein.r,,Iliolumbar vein.r,Genicular veins.l,,,,,
Basilic vein.r,Facial vein.r,,Iliolumbar vein.l,Lateral circumflex femoral veins.r,,,,,
Basilic vein.l,Superior ophtalmic vein.r,,Lumbar veins.l,Medial circumflex femoral veins.r,,,,,
Ulnar veins.r,Inferior ophthalmic vein.r,,Lumbar veins.r,Lateral circumflex femoral veins.l,,,,,
Ulnar veins.l,Superior thyroid vein.r,,,Medial circumflex femoral veins.l,,,,,
Brachial veins.r,Occipital vein.r,,,Superior mesenteric vein,,,,,
Brachial veins.l,Superficial temporal veins.r,,,Middle colic vein,,,,,
Axillary vein.r,Posterior auricular vein.r,,,Right colic vein,,,,,
Axillary vein.l,Maxillary veins.r,,,Right gastro-omental vein,,,,,
Left subclavian vein,Lingual vein.r,,,Left gastro-omental vein,,,,,
Right subclavian vein,Posterior division of retromandibular vein.l,,,Sigmoid veins,,,,,
Internal iliac vein.r,Angular vein.l,,,Splenic vein,,,,,
Internal iliac vein.l,Submental vein.l,,,Inferior mesenteric vein,,,,,
External iliac vein.r,Inferior labial veins.l,,,Perforating veins.l,,,,,
External iliac vein.l,Superior labial vein.l,,,,,,,,
Common iliac vein.l,Facial vein.l,,,,,,,,
Common iliac vein.r,Inferior ophthalmic vein.l,,,,,,,,
Inferior vena cava (thoracic part),Superior thyroid vein.l,,,,,,,,
Inferior vena cava (abdominal part),Occipital vein.l,,,,,,,,
Anterior tibial veins.r,Superficial temporal veins.l,,,,,,,,
Anterior tibial veins.l,Posterior auricular vein.l,,,,,,,,
Lateral plantar veins.r,Maxillary veins.l,,,,,,,,
Lateral plantar veins.l,Lingual vein.l,,,,,,,,
Posterior tibial veins.r,Common facial vein.r,,,,,,,,
Medial plantar veins.r,Common facial vein.l,,,,,,,,
Posterior tibial veins.l,Straight sinus,,,,,,,,
Medial plantar veins.l,Occipital sinus,,,,,,,,
Popliteal vein.r,Anterior jugular vein.l,,,,,,,,
Popliteal vein.l,Anterior jugular vein.r,,,,,,,,
Femoral vein.r,Suprascapular vein.r,,,,,,,,
Femoral vein.l,Suprascapular vein.l,,,,,,,,
Inferior petrosal sinus.r,,,,,,,,,
Inferior petrosal sinus.l,,,,,,,,,
Radial veins.l,,,,,,,,,
Radial veins.r,,,,,,,,,